name,sales_group,address,customer_account
City Of Charleston,LAW,"Water Treatment Plant 
2600 East Mckinley Avenue
Charleston, IL 61920",C002641
City Of Chrisman,LAW,"222 West Madison
Chrisman, IL 61924",C002642
City Of Clayton,JHF,"10 South Bemiston Ave.
Clayton, MO 63105",C002643
City Of Columbia,JAG,"1313 Lakeview Road
Columbia, MO 65201",C002644
City Of Columbia,JHF,"6851 W Route K
Columbia, MO 65203",C002645
City Of Columbia,JAG,"Finance Accts. Payable 
P.O. Box 6015
Columbia, MO 65205",C002646
City Of Columbia,JAG,"Waste Water Treatment Plant 
4900 West Gillespie Bridge Rd. 
P. O. Box N
Columbia, MO 65203",C002647
City Of Columbia - Power Plant,JAG,"1514 Business Loop 70 East
Columbia, MO 65201",C002648
City Of Columbia Landfill,JAG,"5700 Peabody Rd
Columbia, MO 65202",C002649
City Of Columbia Power Plant,JAG,"1501 Business Loop 70 East
Columbia, MO 65201",C002650
City Of Creve Couer,JHF,"996 E Rue Da La Ban Que 
Public Works Division
Saint Louis, MO 63141",C002651
City Of Creve Couer,JHF,"City Hall 
300 North New Ballas Road
Saint Louis, MO 63141",C002652
City Of Dallas City,DRH,"261 Oak Street 
P.O. Box 454
Dallas City, IL 62330",C002653
City Of Decatur,MDC,"1155 S Martin Luther King Drive
Decatur, IL 62521",C002654
City Of Decatur,MDC,"2600 North Jasper Street
Decatur, IL 62523",C002655
City Of Decatur,MDC,"One Gary K. Anderson Plaza
Decatur, IL 62523",C002656
City Of Des Peres,JHF,"1050 Des Peres Road
St.Louis, MO 63131",C002657
City Of Edwardsville,MJA,"118 Hillsboro Avenue
Edwardsville, IL 62025",C002658
City Of Eldorado Fire Dept,JHF,"901 4Th Street
Eldorado, IL 62930",C002659
City Of Ellisville,JHF,"#1 Weis
Ballwin, MO 63011",C002660
City Of Eureka,JHF,"111 North Virginia
Eureka, MO 63025",C002661
City Of Fairfield,RDP,"109 Northeast 2Nd St.
Fairfield, IL 62837",C002662
City Of Fenton Public Works,AJA,"700 Rudder Road
Fenton, MO 63026",C002663
City Of Ferguson,JHF,"110 Church Street
St. Louis, MO 63135",C002664
City Of Festus,SDH,"711 W. Main St.
Festus, MO 63028",C002665
City Of Florissant,JHF,"1155 St. Charles St
Florissant, MO 63031",C002666
City Of Florissant,JHF,"Finance Deppartment 
955 Rue St. Francois
Florissant, MO 63031",C002667
City Of Fulton,JAG,"6797 County Rd 305
Fulton, MO 65251",C002668
City Of Fulton,JAG,"P.O. Box 130
Fulton, MO 65251",C002669
City Of Galt Missouri,DRH,"102 South Main 
P. O. Box 86
Galt, MO 64641",C002670
City Of Hazelwood,JHF,"115 Ford Lane
Hazelwood, MO 63042",C002671
City Of Hillsboro,JHF,"101 Main Street
Hillsboro, MO 63050",C002672
City Of Holts Summit,JHF,"P.O. Box 429 
213 S. Summit Drive
Holts Summit, MO 65043",C002673
City Of Jackson,JHF,"101 Court Street
Jackson, MO 63755",C002675
City Of Jackson,JHF,"412 Florence Street
Jackson, MO 63755",C002676
City of Jerseyville,JHF,"21965 Maple Summit Road
Jerseyville, IL 62052",C027380
City Of Kinloch,JHF,"5991 Monroe
St. Louis, MO 63140",C002677
City Of Kirksville,DRH,"201 South Franklin
Kirksville, MO 63501",C002678
City Of Kirkwood,JHF,"212 South Taylor Avenue
St. Louis, MO 63122",C002679
City Of Kirkwood,JHF,"Recreation Department 
111 South Geyer Road
St. Louis, MO 63122",C002680
City Of Kirkwood - Garage,JHF,"345 S. Fillmore Ave.
St. Louis, MO 63122",C002681
City Of Ladue,JHF,"9345 Clayton Road
Ladue, MO 63124",C002682
City Of Ladue-Fire Department,JHF,"9213 Clayton Road 
Chief John Bailot
Ladue, MO 63124",C002683
City Of Lagrange,JHF,"403 South Main
La Grange, MO 63448",C002684
City Of Lagrange,DRH,"P.O. Box 266
La Grange, MO 63448",C002685
City Of Lake St. Louis,LRH,"307 Parkway Industrial Drive
Lake St. Louis, MO 63367",C002686
City Of Lebanon,JHF,"PO Box 111
Lebanon, MO 65536",C029630
City Of Lees Summit,JHF,"Accounts Payable 
P.O. Box 1600
Lees Summit, MO 64063",C002687
City of Linn,JHF,"1200 Main Street
P. O. Box 498
Linn, MO 65051",C015799
City Of Manhatten Kansas,JHF,"1201 Levee Dr
Manhattan, KS 66502",C002688
City Of Mansfield,NCB,"P.O. Box 467
Mansfield, MO 65704",C002689
City Of Marceline,DRH,"116 North Kansas Avenue 
100 Block Of East Sante Fe
Marceline, MO 64658",C002690
City Of Marion Fire Dept.,JHF,"204 N. Court
Marion, IL 62959",C002691
City Of Marion Street Dept,JHF,"1316 S Vanburen
Marion, IL 62959",C002692
City of Marston,JHF,"209 Elm Street
Marston, MO 63866",C016366
City Of Maryland Heights,JHF,"2715 Feefee
MARYLAND HTS., MO 63043",C002693
City Of Mascoutah,JHF,"40 West Union
Mascoutah, IL 62258",C002694
City Of Metropolis,RDP,"106 W. 5Th Street 
P.O. Box 682
Metropolis, IL 62960",C002695
City Of Metropolis,JHF,"Water Treatment Plant 
634 Public Works Drive
Metropolis, IL 62960",C002696
City Of Mounds,JHF,"501 First Street
Mounds, IL 62964",C002697
City Of Mount Olive,JHF,"215 East Main
Mount Olive, IL 62069",C002698
City of Mt. Vernon,JHF,"1201 Casey Avenue
Mt. Vernon, IL 62864",C021985
City Of Neosho,DMB,"203 East Main St.
Neosho, MO 64850",C002699
City of Neosho,DMB,"15318 Kentucky Road
Neosho, MO 64850",C015974
City Of O'Fallon,MRH,"100 North Main Street
O'Fallon, MO 63366",C002700
City Of O'Fallon,JHF,"285 North Seven Hill Road
O'Fallon, IL 62269",C002701
City Of O'Fallon,MRH,"321 Firma Road
O'Fallon, MO 63366",C002702
City Of Overland,JHF,"9119 Lackland Road
St. Louis, MO 63114",C002703
City Of Overland,JHF,"Public Works Dept. 
1602 Riddle Court
St. Louis, MO 63132",C002704
City of Palmyra / Palmyra Fire Dept.,JHF,"301 South Main
P.O. Box 32
Palmyra, MO 63461",C026013
City of Pana,JHF,"120 East Third Street
Pana, IL 62557",C023740
City Of Peoria,MDC,"3505 N Dreis Ln
Peoria, IL 61604",C002705
City Of Perryville,TNC,"215 North West Street
Perryville, MO 63775",C002706
City Of Pinckneyville,RDP,"104 South Walnut
Pinckneyville, IL 62274",C002707
City Of Quincy Water Dept,JHF,"730 Main Street
Quincy, IL 62301",C002708
City Of Quincy Water Dept.,DRH,"110 N. Front Street
Quincy, IL 62301",C002709
City of Richmond Heights,JHF,"9779 Elinor Avenue
Saint Louis, MO 63117",C022592
City Of Robinson,LAW,"1000 North Mitchell Avenue
Robinson, IL 62454",C002710
City Of Robinson,LAW,"300 South Lincoln
Robinson, IL 62454",C002711
City Of Rolla,JHF,"P.O. Box 979
Rolla, MO 65402",C002712
City Of Salem,JHF,"3Rd & Washington Sts. 
Attn:  Jack Emory
Salem, MO 65560",C002713
City of Savannah,JHF,"402 Court Street
Savannah, MO 64485",C023781
City Of Sedalia,JAG,"200 South Osage Avenue
Sedalia, MO 65301",C002714
City Of Sedalia,JAG,"2903 West Main
Sedalia, MO 65301",C002715
City Of Sedalia,JHF,"901 East 3Rd
Sedalia, MO 65301",C002716
City Of Springfield,KFC,"1111 West Chestnut Expressway
Springfield, MO 65802",C002717
City of Springfield,JHF,"301 North 17th
Springfield, IL 62701",C020743
City of Springfield,JHF,"3301 South Hwy FF
Springfield, MO 65807",C027514
City Of St Charles,LRH,"Fire Mechanic 
1000 Boonslick
St. Charles, MO 63301",C002718
City Of St Louis,JHF,"Lambert International Airport 
P.O. Box 10036
St. Louis, MO 63134",C002719
City Of St Louis,JHF,"5600 Clayton (In Forest Park) 
Shop 40
St. Louis, MO 63110",C002720
City Of St Louis Police Garage,JHF,"3930 Laclede Ave. 
Esd Shop #80
St. Louis, MO 63108",C002721
City Of St. Ann,JHF,"10405 St. Charles Rock Road
St. Ann, MO 63074",C002722
City Of St. Charles,JHF,"200 North Second Street 
General Facilities Maint
St. Charles, MO 63301",C002723
City of St. Charles,MRH,"2871 Elm Point Industrial Dr.
St. Charles, MO 63301",C002724
City Of St. Charles,MRH,"Water Department 
200 North Second Street
St. Charles, MO 63301",C002725
City Of St. Charles,DTL,"Street Division 
370 North Drive
St. Charles, MO 63301",C002739
City Of St. Charles Elm Point,MRH,"Water Plant 
3600 Elm Point Road
St. Charles, MO 63301",C002726
City of St. Charles School District,JHF,"3800 West Clay
ST. CHARLES, MO 63301",C021723
City Of St. Louis,AJA,"ESD Garage #20
1200 Central Industrial Drive
ST. LOUIS, MO 63110",C002727
City Of St. Louis,JHF,"Esd Garage #40 
5600 Clayton Road
St. Louis, MO 63110",C002728
City Of St. Louis Esd Shop 10,JHF,"1900 Hampton Avenue
St. Louis, MO 63137",C002729
City Of St. Louis Park Dept.,JHF,"5600 Clayton Road 
Parks Storeroom
St. Louis, MO 63110",C002730
City Of St. Louis Parking Div.,JHF,"Room 220
City Hall 
Attn:  Accounts Payable
St. Louis, MO 63103",C002731
City Of St. Louis Water Dept.,JHF,"10450 Riverview Dr.
St. Louis, MO 63137",C002732
City Of St. Louis Water Div.,JHF,"14769 Olive Boulevard
Chesterfield, MO 63017",C002733
City Of St. Louis Water Div.,JHF,"1640 South Kingshighway 
Attn:  Judy Junge
St. Louis, MO 63110",C002734
City Of St. Peters,MRH,"100 Ecology Drive 
P. O. Box Nine
Saint Peters, MO 63376",C002735
City Of St. Peters,MRH,"131 Ecology Drive 
Cmpf Dept 
Po Box 9
Saint Peters, MO 63376",C002736
City Of St. Peters,MRH,"135 Ecology Drive 
Purchasing Dept. 
Po Box 9
Saint Peters, MO 63376",C002737
City Of St. Peters,MRH,"P.O. Box 9 - Attn: Purhasing
Saint Peters, MO 63376",C002738
City Of St. Peters,MRH,"100 Boones Hill
Saint Peters, MO 63376",C014180
City Of St.Peters Rec. Center,JHF,"5200 Mexico Road
Saint Peters, MO 63376",C002740
City Of Stockton Sewer Plant,JHF,"115 S. Walnut St.
Stockton, KS 67669",C002741
City Of Sullivan,JHF,"320 Emma Lane
Sullivan, MO 63080",C002742
City Of Sullivan,LAW,"Two West Harrison
Sullivan, IL 61951",C002743
City Of Sunset Hills,JHF,"3939 South Lindbergh Blvd
Saint Louis, MO 63127",C002744
City Of University City,NMM,"6801 Delmar Boulevard
St. Louis, MO 63130",C002745
City Of Villa Grove,JHF,"612 Front Street 
P.O. Box 108
Villa Grove, IL 61956",C002746
City Of Washington,JAP,"405 Jefferson
Washington, MO 63090",C002747
City Of Waterloo,SDH,"100 West Fourth Street 
City Hall
Waterloo, IL 62298",C002748
City Of Waterloo,SDH,"615 West 3Rd Street 
C/O Power Plant
Waterloo, IL 62298",C002749
City Of Wentzville,LRH,"310 West Pearce
Wentzville, MO 63385",C002750
City Of West Plains,JMF,"1910 Holiday Lane 
P.O. Box 710
West Plains, MO 65775",C002751
City Of Winfield,LRH,"51 Old Troy Rd
Winfield, MO 63389",C002752
City Of Wood River,JHF,"111 North Wood River Ave
Wood River, IL 62095",C002753
City Of Woodson Terrace,JHF,"9351 Guthrie
St. Louis, MO 63134",C002754
City Utilities Of Springfield,JMF,"5100 W. Farm Road #164 
Southwest Power Station
Springfield, MO 65807",C002755
City Utilities Of Springfield,KFC,"Accounts Payable 
P. O. Box 551
Springfield, MO 65801",C002756
City Utilities Of Springfield,JMF,"2115 West Grand
Springfield, MO 65802",C002757
City Water Light & Power,MJA,"Accounts Payable, MCE
800 East Monroe, 4th Floor

Springfield, IL 62757",C002758
City Water Light & Power,JHF,"3350 Ridgely Road
Springfield, IL 62707",C022017
City Water Light And Power,MJA,"1600 S. Groth St.
Springfield, IL 62703",C002759
City Water Light And Power,MJA,"2730 Old Rochester Rd
Springfield, IL 62703",C002760
City Water Light And Power,MJA,"3100 Stevenson Drive 
Dallman Power Station
Springfield, IL 62703",C002761
City Water Light And Power,MJA,"Municipal Building 
Attn: Accts. Payable
Room 211
Springfield, IL 62701",C002762
City Welding Llc,JHF,"400 Edwin Street
St. Louis, MO 63103",C002763
Civacon,JHF,"4304 Mattox Road
Riverside, MO 64150",C002764
CJC Enterprises,JHF,"5405 Alton Parkway
Irvine, CA 92604",C023463
CJ's Cleaners,LRH,"2017 Zumbehl Road
Saint Charles, MO 63303",C002058
C-K Engineering,JHF,"16144 West Woods Business Park Dr.
Ellisville, MO 63021",C002765
CK Repair,JHF,"6606 Shamrock Road
Tamaroa, IL 62888",C017445
Cks Packaging,JHF,"5750 East Front St.
Kansas City, MO 64120",C002766
Cks Packaging Inc,JHF,"4000 North East Kimball Drive 
Plant #23
Kansas City, MO 64161",C002767
Clarcor Industrial Air,JAG,"321 Industrial Blvd.
Slater, MO 65349",C002768
Clarcor Industrial Air,JHF,"11501 Outlook Street
Suite 100
Overland Park, KS 66211",C002769
Clarcor Industrial Air,JAG,"532 West Lincoln St.
Slater, MO 65349",C002770
Clarcor Industrial Air,JHF,"Bha Altair
Llc. 
Op Unit: Envs Bha Us 
C/O Ge Energy Apex A/P
Po Box 5125
Schenectady, NY 12301",C002771
Clarence Aulbach,SDH,"129 Tanzberger Drive
St. Louis, MO 63129",C002772
Clarence Cannon Wholesale,JHF,"Water Commision 
34146 Rt U.
Stoutsville, MO 65283",C002773
Clark County R1 School Dist.,DRH,"427 West Chestnut Street
Kahoka, MO 63445",C002774
Clark Dietrich,JHF,"9050 Centre Pointe Drive
Suite 400
West Chester, OH 45069",C026582
Clark Hydraulics,JHF,"2901 Springer Blvd
Little Rock, AR 72206",C002775
Clark Industries,KFC,"816 Callan Street
Monett, MO 65708",C002776
Clark Testing,SDH,"1470 Bluff View Drive
Dupo, IL 62239",C002777
Clark Transportation,JHF,"P.O. Box 30109
Columbia, MO 65205",C002778
Clarke Industrial Supply,JHF,"171 Paradise Blvd
Athens, GA 30607",C002779
Clarke Power Services,JHF,"4200 PCR 806
Perryville, MO 63775",C026517
Clarke Power Services Inc,JHF,"1411 South Service Drive
Sullivan, MO 63080",C002780
"Clarke Power Services, Inc",JHF,"17 Liberty Place
Granite City, IL 62040",C002781
"Clarke Power Services, Inc.",JHF,"2252 E. Pitman Avenue
Wentzville, MO 63385",C002782
"Clarke Power Services, Inc.",JHF,"3133 E. Kemper Road
Cincinnati, OH 45241",C002783
Clarks Machining And Design,JHF,"17240 North Livingston Rd.
Marshall, IL 62441",C002784
Clarkson Eye Care Lab,JHF,"505 Route 66 Business Park
Pacific, MO 63069",C002785
Clarkson Grain Co. Inc.,LAW,"2808 Thomason Drive
Mattoon, IL 61938",C002786
"Clarksville Limb, Brace, & Rhb",JHF,"1816 Memorial Circle
Clarksville, TN 37043",C002787
Clartec Corporation,JHF,"5001 Fyler Ave
St. Louis, MO 63139",C002788
Classic  Woodworking Inc.,JHF,"9524 South Broadway
St Louis, MO 63125",C002789
Classic Aire,JHF,"10466 Baur Blvd
St. Louis, MO 63132",C002790
Classic Buildings,JAG,"67 Progress Lane
Linn, MO 65051",C002791
Classic Cleaners,JHF,"2474 North Main
Decatur, IL 62526",C002792
Classic Coffers,JHF,"28066 Van Horne Dr
Jerseyville, IL 62052",C002793
Classic Equine,TNC,"100 Wulfert Drive
Frederick Town, MO 63645",C002794
Classic Metalcraft,JHF,"1315 S. Vandeventer Ave.
St. Louis, MO 63110",C014999
Classic Soft Trim,JHF,"4336 North Ryder Trail
Earth City, MO 63045",C002795
Classic Whips,JHF,"1405 Illinois Avenue
Columbia, MO 65203",C002796
Classic Woodworking Inc.,JHF,"9524 South Broadway
St Louis, MO 63125",C002797
Clay Piping Systems,JHF,"1360 North Price Road
St.Louis, MO 63132",C035442
Claychester Cleaners,JHF,"10854 Manchester Rd
St. Louis, MO 63122",C002798
Clayco Accurate,JHF,"2199 Innerbelt Business Center
St. Louis, MO 63114",C002799
ClayPool Pump,AJA,"2615 South 10th Street
Saint Louis, MO 63118",C036018
Clayton Car Wash,JHF,"122 S. Hanley
Clayton, MO 63105",C002800
Clayton Cleaners,JHF,"550 North And South Road
St. Louis, MO 63130",C002801
Clayton Corporation,AJA,"866 Horan
Fenton, MO 63026",C002803
Clayton Crafford,JHF,"3572 County Road 628
Fisk, MO 63940",C015911
Clayton Fabrication,JDC,"357 North Interstate Drive 
P. O. Box 572
Sikeston, MO 63801",C002804
Clayton School District,JHF,"#2 Mark Twain Circle
Clayton, MO 63105",C002805
"Clean Air Technology, Inc.",JAG,"41105 Capital
Canton, MI 48187",C034858
Clean Car Industries,JHF,"400 Trade Center Drive
Saint Peters, MO 63376",C031928
Clean Concept Inc,JHF,"1114 East North Street
Eldon, MO 65026",C002810
Clean Crafts,JHF,"5311 Pershing
St. Louis, MO 63112",C002811
Clean Cut Creations,JHF,"950 Des Peres Ave
Webster Grove, MO 63119",C002812
Clean Cut Tree Service,JHF,"317 N. Main Street
Huntsville, MO 65259",C002813
Clean Machine,JHF,"4311 North Belt West
Belleville, IL 62226",C002814
Clean Machine,JHF,"600 South Illinois
Belleville, IL 62221",C002815
Clean Machine Vehicle Wash,JHF,"14904 North Ninth Avenue
Effingham, IL 62401",C002816
Clean Quick Express Car Wash,JHF,"331 Skinker Ln.
Fenton, MO 63026",C002817
Clean Solutions Etc. Inc.,JHF,"16000 Jaeger Drive
Wright City, MO 63390",C002818
Clean Sweep,LRH,"111 Boone Hill Drive 
P.O. Box 1621 Saint Peters Mo
Saint Peters, MO 63376",C002819
Clean Uniform,DMB,"1609 East Falcon
Webb City, MO 64870",C002820
Clean Uniform Company,AJA,"1316 South Seventh St
St. Louis, MO 63104",C002821
Clean Water Solution,JHF,"2353 Grissom Drive
St. Louis, MO 63146",C002822
"Cleanforce, Llc",JHF,"1731 Burns Avenue
St. Louis, MO 63132",C002823
"Cleanforce, Llc",KMP,"3801 Mckelvey 
Suite 210
Bridgeton, MO 63044",C002824
Cleanquick Express Car Wash,JHF,"1029 Majestic
Fenton, MO 63026",C002825
Clear Image Technologies,JHF,"9648 Olive Boulevard
Olivette, MO 63132",C030729
Clear Water Aquatics,JHF,"41 Deerfield Lane
St. Louis, MO 63146",C002826
Clear Water Aquatics,JHF,"P.O. Box 16131
Clayton, MO 63105",C002827
Clearbridge Display Llc,JHF,"903 Marion City Road
Palmyra, MO 63461",C002828
Clearfield Incorporated,JHF,"5480 Nathan Lane Suite #120
Minneapolis, MN 55442",C002829
Clearview Enterprise Llc,JHF,"14980 Hwy Z
St. Robert, MO 65584",C002830
Clearview Enterprises Llc,JHF,"239 Rock Industrial Blvd.
Union, MO 63084",C002831
Clearwater Car Wsh,JHF,"5110 North Illinios Street
Fairview Hts., IL 62208",C002832
Clearwater Enterprises,NCB,"2140 Hwy 52
Tuscumbia, MO 65082",C002833
Clearwater Organic Farms,JHF,"1481 North 930 East Road
Taylorville, IL 62568",C034411
Clem Hagenhoff Trucking Inc.,JHF,"2433 Goodfellow Road
Wentzville, MO 63385",C014172
Clemco Industries,JAP,"One Cable Car Drive 
Bluff Road And West Link Drive
Washington, MO 63090",C002834
Clete's Inc.,MTL,"138 Douglas Ave
O'Fallon, IL 62269",C002835
Clever Stone Company,JMF,"Donelson Construction Co. 
1075 Wise Hill Road
Clever, MO 65631",C002836
Clifford-Jacobs Forging Co.,MDC,"P.O. Box 830 
2410 N. 5Th Street
Champaign, IL 61824",C002837
Cliffstar Corporation,DMB,"3502 Enterprise Avenue
Joplin, MO 64801",C002838
Clifton Bone,TNC,"542 Burkstone Road
Farmington, MO 63640",C002839
Climax Molybedenum,DRH,"Highway 61 South 
P. O. Box 220
Ft. Madison, IA 52627",C002840
Clin-Clair,JHF,"C/O Tonnies Hardware Store 
126 North Commercial St.
Albers, IL 62215",C002841
Clin-Clair,JHF,"P.O. Box 414
Albers, IL 62215",C002842
Clinco,JHF,"1205 W Grand Ave
Cameron, MO 64429",C002843
Clinton County Hwy Dept,JHF,"431 21St St
Carlyle, IL 62231",C002844
Clinton County Metal Works,JHF,"790 Walnut Street
Breese, IL 62230",C034616
Clinton Fire Department,NCB,"301 South Washington
Clinton, MO 64735",C002845
Clinton J. Boehm,JHF,"218 Havener Center
Rolla, MO 65409",C002846
Clinton Michael,JHF,"25420 State Route 161
Centralia, IL 62801",C023562
Clinton Nuclear Station,JHF,"8401 Power Road
Clinton, IL 61727",C002847
Clipper Coffee Company LLC,JHF,"505 North Mason Road
Saint Louis, MO 63141",C017300
Clipper Wind Power,JHF,"1289 Camino Meleno
Santa Barbara, CA 93111",C002848
CLM Pallet Recycling,KMP,"8502 Delport
St. Louis, MO 63114",C002849
CLM Pallet Recycyling,JHF,"6335 English Avenue
P.O. Box 19184
Indianapolis, IN 46219",C002850
Clorox Accounts Payable,JHF,"P. O. Box 5807
Troy, MI 48007",C002851
Closed Loop Recycling,JHF,"5555 Manchester
St Louis, MO 63110",C028814
Closet Factory,JHF,"1581 Fenpark Drive
FENTON, MO 63026",C002852
Closets By Design St. Louis,JHF,"149 Weldon Parkway
Maryland Heights, MO 63043",C021701
Cloverleaf Cabintry Co,JHF,"4635 Grenore
High Ridge, MO 63049",C002853
Clow Controls & Services Inc.,JHF,"7381 Walker Road
Decatur, IL 62525",C018702
Club Carwash,JAG,"1213 Old 63 Ste 1
Columbia, MO 65201",C025356
Club Carwash *Do Not Use*,JAG,"** DO NOT USE - SEE C025356 **
212 Nebraska Avenue
Columbia, MO 65203",C012617
Club Carwash *Do Not Use*,LRH,"** DO NOT USE - SEE C025356 **
2 Merlin Drive
Troy, MO 63379",C012618
Club Carwash *Do Not Use*,JAG,"** DO NOT USE - SEE C025356 **
1202 Maple Street
Farmington, MO 63640",C025357
Clyde Hite Lub. & Fasteners,JHF,"7491 Hopkinsville Road
Cadiz, KY 42211",C002854
Clyde Jolly,RDP,"7912 Dykersburg Rd
Stonefort, IL 62987",C002855
"Cm&W, Llc",LRH,"5 Industrial Loop
Hannibal, MO 63401",C002856
CMA Flodyne Hydradyne Inc,JHF,"921 South Bosch Road-B
Peoria, IL 61607",C002857
"Cma/Flodyne/Hydradyne, Inc.",JHF,"1000 Muirfield Drive
Hanover Park, IL 60133",C002858
Cmci Div. Of Caldwell Group,JHF,"P.O. Box 6005
Rockford, IL 61125",C002859
Cmd Auto Repair,JHF,"10400 West Main
Belleville, IL 62223",C002860
CMMG Inc.,JAG,"2301 Boonslick Dr
Boonville, MO 65233",C027768
Cmt International,RDP,"3200 Fishback Road
Carbondale, IL 62901",C002861
Cmt International,RDP,"P.O. Box 3254
Carbondale, IL 62902",C002862
Cn Rail Road,JHF,"600 Gilmore Street
Centralia, IL 62801",C002863
Cnc Metalcraft,JHF,"11187 Excelsior Blvd
Minnentonka, MN 55343",C002864
Cnh Belohorizonte Brazil,JHF,"C/O Industrial Service Corp 
3400 West Ave - Bldg#2
Burlington, IA 52601",C002865
Cnh Global N.V.,JHF,"Disbursements Processing-Parts 
700 State Street
Racine, WI 53404",C002866
Cnh Reman,JMF,"2707 N. Farm Road 123
Springfield, MO 65803",C002867
Cnv Service Company L.L.C.,JHF,"P.O. Box 6030
Alton, IL 62202",C002868
Coad Toyota,JDC,"357 Siemers Drive
Cape Girardeau, MO 63701",C002869
Coast Pneumatics,JHF,"8055 E Crystal Drive
Anaheim, CA 92807",C030765
Coastal FMC,JMF,"#1 Coastal Drive
P. O. Box 218
Willow Springs, MO 65793",C028329
"Coastal Process, LLC",JHF,"28750 James Chapel Road N
Holden, LA 70744",C029264
"Coastal Wire Company, Inc.",KFC,"427 Gapway Road
Georgetown, SC 29440",C031109
Coater Services,JHF,"1201 Housel Ave S.E.
Canton, OH 44707",C002870
"Coatings Unlimited, Inc.",JHF,"4325 Bridgeton Industrial Dr.
Bridgeton, MO 63044",C002871
Cobak Tool And Manufacturing,JHF,"2539 St. Louis Avenue
St. Louis, MO 63106",C002872
Cobitco Inc.,JHF,"620 Spirit Of St. Louis Blvd.
Chesterfield, MO 63005",C002873
Coblentz Sawmill,JHF,"Hc1 Box 96A
Grandin, MO 63943",C002874
Coble's Corner,JMF,"12010 Hwy. 38
Cabool, MO 65689",C002875
"Coburn Supply Co., Inc.",JHF,"P.O. Box #2177
Beaumont, TX 77704",C002876
Coca Cola,JHF,"3800 Mueller Rd.
St. Charles, MO 63301",C014155
Coca Cola Refreshments,LRH,"C/O Corrigan Company 
1410 E. Veterans Pkwy
Warrenton, MO 63383",C002877
Coca-Cola Refreshments,LRH,"1410 E. Veterans Memorial Pky
Warrenton, MO 63383",C002878
Cody Nicholson,JHF,"2820 Propst Road
Doe Run, MO 63637",C022002
Cody Seaman,JHF,"9918 Grand Avenue
Beardstown, IL 62618",C016043
Coe Equipment,JHF,"5953 Cherry Street
Rochester, IL 62563",C002879
Coecles Harbor Marina,JHF,"18 Hudson Avenue 
P O Box 1670
Shelter Island, NY 11964",C002880
Coffey Automotive,JHF,"2060 Exchange Drive
Saint Charles, MO 63303",C002881
Coffeyville Sektam Inc.,JHF,"509 North Cline Road
Coffeyville, KS 67337",C002882
Cogent,JHF,"318 Broadway
Kansas City, MO 64105",C002883
Cohen Architectual Woodworking,JHF,"9 Industrial Drive Box 730
St. James, MO 65559",C002884
Cohn Athletics,JHF,"231 East Hardy
St. James, MO 65559",C002885
Cohr/Mediquip,JHF,"1645 Manufacturers Drive
Fenton, MO 63026",C002886
Coin Acceptors Incorporated,JHF,"300 Hunter Avenue
Ladue, MO 63124",C002887
Coldco Logistics,JHF,"34 Fairmont City Blvd.
National Stock Yards, IL 62071",C025932
Coldwater Machine Company,JHF,"911 North Second Street
Coldwater, OH 45828",C002888
Cole Marburger,JHF,"2003 Dabbs North Road
Jerseyville, IL 62052",C002889
Coleman Equipment,JHF,"10214 Bust Drive
Potosi, MO 63664",C002890
Coleman Taylor Transmission,JHF,"4131 North St. Peters Parkway
St. Charles, MO 63304",C015794
Coles County Airport Authority,LAW,"432 Airport Road
Mattoon, IL 61938",C002891
Colex Imaging,JHF,"347 Evelyn Street
Paramus, NJ 07652",C002892
Colliers International,JHF,"909 Chestnut
Room 458MC
ST. LOUIS, MO 63101",C030226
Collins & Hermann,JHF,"1215 Dunn Road
Saint Louis, MO 63138",C037633
Collins Hermann,JHF,"1215 Dunn Road
St. Louis, MO 63138",C036796
Collins Plumbing & Heating,JHF,"1023 Dorlan
Springfield, IL 62702",C002893
Collinsville Auto Body,JHF,"911 North Bluff Rd
Collinsville, IL 62234",C002894
Collinsville Custom Kitchens,JHF,"Six Schiber Court 
Maryville Industrial Complex
Maryville, IL 62062",C002895
Collinsville Road and Bridge,JHF,"1407 North Bluff Road
Collinsville, IL 62234",C031652
Collision Center of Columbia,JHF,"200 Nebraska Avenue
Columbia, MO 65203",C028128
Collision Centers,JHF,"12990 St. Charles Rock Road
Bridgeton, MO 63044",C033213
Collision Plus,JHF,"1274 Central Park Drive
O'Fallon, IL 62269",C002896
Collision Plus Of Belleville,JHF,"201 North Illinois Street
Belleville, IL 62220",C002897
Collision Repair Specilaty,JHF,"2180 Cordes Road
Germantown, TN 38139",C002898
Collision Services,JHF,"2947 Old Rochester Rd
Springfield, IL 62703",C002899
Collision Specialist,JHF,"1410 21St Ave Nw
Austin, MN 55912",C002900
Collision Specialists,JHF,"1101 West Whittaker
Salem, IL 62881",C002901
Color Perfect,JHF,"105 Elaine Drive
O'Fallon, MO 63366",C002902
Color Process,JHF,"10645 Bauer
St. Louis, MO 63132",C002903
"Colt Industries, Inc.",JHF,"3505 Tree Court Industrial Blvd.
St. Louis, MO 63122",C002904
Columbia Area Career Center,JHF,"4203 S. Providence
Columbia, MO 65203",C002905
Columbia Burlap & Bag,JHF,"999 Bedford Ave
N. Kansas City, MO 64116",C002906
Columbia Construction,JDC,"3630 Exchange Drive
Cape Girardeau, MO 63701",C002907
Columbia Daily Tribune,JAG,"101 North 4Th Street
Columbia, MO 65205",C002908
